agent_name,n_certified
INTERNATIONAL LABOR MANAGEMENT CORP. SARAH EURY  F,57
"INTERNATIONAL LABOR MANAGEMENT CORP., INC.",1676
"INTERNATIONAL LABOR MANAGEMENT CORP., LABOR CONSUL",2527
"INTERNATIONAL LABOR MANAGEMENT CORP., SARAH E FARR",326
"INTERNATIONAL LABOR MANAGEMENT CORP., SARAH E. FAR",262
"INTERNATIONAL LABOR MANAGEMENT CORP., STAN EURY, P",90
"INTERNATIONAL LABOR MANAGEMENT CORP., STAN EURY, PRESIDENT",151
INTERNATIONAL LABOR MANAGEMENT CORP./SARAH E. FARR,265
"INTERNATIONAL LABOR MANAGEMENT CORP./STAN EURY, PR",31
INTERNATIONAL LABOR MANAGEMENT CORP.:CHERYL MARSH,68
INTERNATIONAL LABOR MANAGEMENT CORP.:CRAIG EURY,352
"INTERNATIONAL LABOR MANAGEMENT CORP.:CRAIG EURY, JR.",6744
INTERNATIONAL LABOR MANAGEMENT CORP.:DORA BOGER,1350
INTERNATIONAL LABOR MANAGEMENT CORP.:DORA LOPEZ,494
INTERNATIONAL LABOR MANAGEMENT CORP.:STAN EURY,7493
"INTERNATIONAL LABOR MANAGEMENT CORP.:STAN EURY, JR.",3735
INTERNATIONAL LABOR MANAGEMENT CORP.:TERRY GRAHAM,396
INTERNATIONAL LABOR MANAGEMENT CORP.:THERESA WARD,6
INTERNATIONAL LABOR MANAGEMENT CORP.STAN EURY PRES,10
INTERNATIONAL LABOR MANAGEMENT CORP.STAN EURY PRESIDENT,3537
INTERNATIONAL LABOR MANAGEMENT CORP/SARAH E FARREL,90
INTERNATIONAL LABOR MANAGEMENT CORP:CHRISTI TABARETTI,1063
INTERNATIONAL LABOR MANAGEMENT CORP:DANIEL FARRELL,816
INTERNATIONAL LABOR MANAGEMENT CORP:STAN EURY,2301
INTERNATIONAL LABOR MANAGEMENT CORP:TERESA WARD,5
INTERNATIONAL LABOR MANAGEMENT CORP:THERESA WARD,611
INTERNATIONAL LABOR MANAGEMENT CORPORATION,746
INTERNATIONAL LABOR MANAGEMENT CORPORATION (ILMC),981
INTERNATIONAL LABOR MANAGEMENT CORPORATION:CHRISTI TABARETTI,949
INTERNATIONAL LABOR MANAGEMENT CORPORATION:DORA BOGER,167
INTERNATIONAL LABOR MANAGEMENT CORPORATION:DORA LOPEZ,60
INTERNATIONAL LABOR MANAGEMENT CORPORATION:STAN EURY,2512
INTERNATIONAL LABOR MANAGEMENT CORPORATION:TERRY GRAHAM,20
INTERNATIONAL LABOR MANAGEMENT CORPORATION:THERESA WARD,3454
INTERNATIONAL LABOR MANAGEMENT CROP:DANIEL FARRELL,7
INTERNATIONAL LABOR MANAGEMENT SARAH FARRELL  & ET,70
INTERNATIONAL LABOR MANAGEMENT SARAH FARRELL ET. A,250
"INTERNATIONAL LABOR MANAGEMENT SARAH FARRELL ET.,",20
"INTERNATIONAL LABOR MANAGEMENT SARAH FARRELL ET.,A",10
INTERNATIONAL LABOR MANAGEMENT-SARAH FARRELL ET AL,100
INTERNATIONAL LABOR MANAGEMENT/ SARAH  FARRELL  ET,36
INTERNATIONAL LABOR MANAGEMENT/ SARAH  FARRELL & E,20
"INTERNATIONAL LABOR MANAGEMENT/ SARAH E. FARRELL,",121
INTERNATIONAL LABOR MANAGEMENT/ STAN EURY,39
INTERNATIONAL LABOR MANAGEMENT/SARAH FARRELL ET AL,10
INTERNATIONAL LABOR MANAGEMENT:CHRISTI TABARETTI,3
INTERNATIONAL LABOR MANAGEMENT:DORA BOGER,69
INTERNATIONAL LABOR MANAGEMENT:STAN EURY,46
"INTERNATIONAL LABOR MANAGEMENT:STAN EURY,  AGENT",150
"INTERNATIONAL LABOR MANAGEMENT:STAN EURY, AGENT",161
INTERNATIONAL LABOR MANAGEMENT:THERESA WARD,11
INTERNATIONAL LABOR MANAGEMENTSARAH E. FARRELL,85
"INTERNATIONAL LABOR MANAGMENT CORP., LABOR CONSULT",17
INTERNATIONAL LABOR MANAGMENT CORP:CHRISTI TABARETTI,10
INTERNATIONAL LABOR MANAGMENT CORP:DANIEL FAREEL,115
INTERNATIONAL LABOR MANAGMENT CORP:DANIEL FARRELL,20
INTERNATIONAL LABOR MANAGMENT CORPORATION (ILMC),165
INTERNATIONAL LABOR MANANGEMENT CORP:THERESA WARD,4
INTERNATIONAL LABOR MANGEMENT CORP:CHRISTI TABARETTI,28
INTERNATIONAL LABOR MANGEMENT CORP:DANIEL FARRELL,95
INTERNATIONAL LABOR MANGEMENT CORPORATION:CHRISTI TABARETTI,33
INTERNATIONAL LABOR MANGEMENT CORPORATION:THERESA WARD,39
INTERNATIONAL LABOR MGMT CORP.:STAN EURY,541
INTERNATIONAL LABOR MGMT CORP:STAN EURY,789
INTERNATIONAL LABOR MGMT. CORP.:STAN EURY,851
INTERNATIONAL LABOR MGMT:STAN EURY,242
INTERNATIONAL LABOR MGT CORP:BILL HERITAGE,90
INTERNATIONAL LABOR MGT CORP:STAN EURY,1060
INTERNATIONAL LABOR MGT CORP:TISH SOWARDS,258
INTERNATIONAL LABOR MNGT CORP.:STAN EURY,300
LABOR MANAGEMENT CORP:STAN EURY,21
NCGA,124
NCGA - STAN EURY,6301
"NCGA, INC.",1840
"NCGA- CRAIG S. EURY, JR.",2372
NORTH CAROLINA GROWER ASSO. INC.:STAN EURY,2244
"NORTH CAROLINA GROWERS ASSN.:CRAIG EURY, JR.",32
"NORTH CAROLINA GROWERS ASSOCIATION , INC. (NCGA)",68
NORTH CAROLINA GROWERS ASSOCIATION INC.,983
"NORTH CAROLINA GROWERS ASSOCIATION, INC.",510
"NORTH CAROLINA GROWERS ASSOCIATION, INC.:CRAIG EURY, JR.",71
NORTH CAROLINA GROWERS ASSOCIATION:STAN EURY,35
NOT APPLICABLE- NCGA IS A JOIN,10
NOT APPLICABLE-NCGA IS  JOINT,114
NOT APPLICABLE-NCGA IS A JOINT,104
S. FARRELL- ILMC,35
SARAH  E FARRELL,179
SARAH  E FARRELL / INTERNATIONAL LABOR MANAGEMENT,4
SARAH  E FARRELL/INTERNATIONAL LABOR MANAGEMENT CO,9
SARAH  E. FARRELL,1061
SARAH  E. FARRELL/ INTERNATIONAL LABOR MANAGEMENT,20
SARAH  FARRELL,22
SARAH E  FARRELL,7
SARAH E FARRELL,4935
SARAH E FARRELL  / INTERNATIONAL LABOR MANAGEMENT,18
SARAH E FARRELL / ILMC,156
SARAH E FARRELL / INTERNATIONAL LABOR MANAGEMENT C,2080
SARAH E FARRELL INTERNATIONAL LABOR MANAGEMENT COR,321
"SARAH E FARRELL,",13
"SARAH E FARRELL, INT. LABOR MGMT CORP.",4
"SARAH E FARRELL, PRESIDENT",17
SARAH E FARRELL/ INTERNATIONAL LABOR MANAGEMENT CO,685
SARAH E FARRELL/INTERNATIONAL LABOR MANAGEMENT COR,406
SARAH E FARRELL/INTERNATIONAL LABOR MANAGEMENT CRO,4
SARAH E FARRELL/INTERNATIONAL LABOR MANAGMENT CORP,696
SARAH E. FARELL,190
SARAH E. FARELL / INTERNATIONAL LABOR MANAGEMENT C,9
SARAH E. FARREL,8
SARAH E. FARRELL,11708
SARAH E. FARRELL  / INTERNATIONAL LABOR MANAGEMENT,11
SARAH E. FARRELL  INTERNATIONAL LABOR MANAGEMENT C,10
SARAH E. FARRELL - INTERNATIONAL LABOR MANAGEMENT,31
SARAH E. FARRELL /  INTERNATIONAL LABOR MANAGEMENT,25
SARAH E. FARRELL / INTERNATIONAL LABOR MANAGEMENT,1577
SARAH E. FARRELL ET AL INTERNATIONAL LABOR MANAGEM,10
SARAH E. FARRELL INTERNATIONAL LABOR MANAGEMENT CO,59
SARAH E. FARRELL INTERNATIONAL LABOR MGMT. CORP.,7
"SARAH E. FARRELL, INTERNATIONAL LABOR MANAGEMENT C",134
"SARAH E. FARRELL, INTERNATIONAL MANAGEMENT CORP",4
"SARAH E. FARRELL, VICE PRESIDENT",85
"SARAH E. FARRELL/ ILMC, LABOR CONSULTANT",32
SARAH E. FARRELL/ INTERNATIONAL LABOR MANAGEMENT,52
SARAH E. FARRELL/ INTERNATIONAL LABOR MANAGEMENT C,1099
SARAH E. FARRELL/INTERNATIONAL LABOR MANAGEMENT CO,1418
SARAH EURY FARRELL,100
SARAH EURY FARRELL / INTERNATIONAL LABOR MANAGEMEN,347
SARAH EURY FARRELL INTERNATIONAL LABOR MANAGEMENT,54
SARAH EURY FERRELL / INTERNATIONAL LABOR MANAGEMEN,20
SARAH FARRELL,2595
SARAH FARRELL - ILMC.,40
SARAH FARRELL / INTERNATIONAL LABOR MANAGEMENT,304
SARAH FARRELL / INTERNATIONAL LABOR MANAGEMENT COR,350
SARAH FARRELL ET AL,180
SARAH FARRELL ET AL INTERNATIONAL LABOR MANAGEMENT,2543
SARAH FARRELL ET. AL INTERNATIONAL LABOR MANAGEMEN,160
SARAH FARRELL ETAL INTERNATIONAL LABOR MANAGEMENT,65
SARAH FARRELL/I.L.M.C.,30
SARAH FARRELL/INTERNATIONAL LABOR MANAGEMENT CORP,10
SARAH FARRELL/INTERNATIONAL LABOR MANAGEMENT CORPO,231
SARAH W FARRELL,4
STAN EURY,3148
"STAN EURY, EXEC. DIRECTOR",8212
"THE LABOR  COMPANY, AMANDA WRIGHT",30
"THE LABOR  COMPANY, ATTN: MS. AMANDA WRIGHT",22
THE LABOR COMPANY,1584
THE LABOR COMPANY   / A. WRIGHT,229
THE LABOR COMPANY  A. WRIGHT,868
THE LABOR COMPANY  A.WRIGHT,13
THE LABOR COMPANY -  A. WRIGHT,140
THE LABOR COMPANY -A. WRIGHT,60
THE LABOR COMPANY / A. WRIGHT,221
THE LABOR COMPANY / AMANDA WRIGHT,1298
THE LABOR COMPANY A. WRIGHT,123
THE LABOR COMPANY A.WRIGHT,15
THE LABOR COMPANY AMANDA WRIGHT,94
THE LABOR COMPANY C/O AMANDA WRIGHT,65
THE LABOR COMPANY LLC   (TLC):EVELYN WRIGHT,9
THE LABOR COMPANY LLC  (TLC):EVELYN WRIGHT,230
THE LABOR COMPANY LLC (TLC):EVELYN WRIGHT,1589
THE LABOR COMPANY LLC:EVELYN WRIGHT,1997
THE LABOR COMPANY LLC:EVENLYN WRIGHT,15
"THE LABOR COMPANY,  A. WRIGHT",196
"THE LABOR COMPANY,  AMANDA WRIGHT",133
"THE LABOR COMPANY, A. WRIGHT",273
"THE LABOR COMPANY, AMANDA  WRIGHT",246
"THE LABOR COMPANY, AMANDA WRIGHT",2197
"THE LABOR COMPANY, LLC",80
"THE LABOR COMPANY, LLC (TLC)/EVELYN AMANDA WRIGHT",49
"THE LABOR COMPANY, LLC - EVELYN AMANDA WRIGHT",15
"THE LABOR COMPANY, LLC - EVELYN WRIGHT",6
"THE LABOR COMPANY, LLC/EVELYN AMANDA WRIGHT",326
"THE LABOR COMPANY, LLC:EVELYN WRIGHT",437
THE LABOR COMPANY- A.  WRIGHT,15
THE LABOR COMPANY- AMANDA WRIGHT,95
THE LABOR COMPANY-A. WRIGHT,35
THE LABOR COMPANY/ A. WRIGHT,118
THE LABOR COMPANY/ AMANDA WRIGHT,207
THE LABOR COMPANY/A. WRIGHT,288
THERESA WARD,3675
